,superficie,time_ctrl,PRECIPITACION,time_ext,SOL,personal,RACHA,lng,lat,Año,TMAX,medios,PRES_RANGE
0,5.0,3.55,0,3.55,10.2,14,16.9,-8.038777,43.703581,2001,15.6,2,4.40000000000009
1,1.5,2.05,0,2.05,10.2,5,11.1,-8.68547,43.186836,2001,11.6,0,4.69999999999993
2,1.5,1.5,0,1.5,12.1,9,13.9,-7.984566,43.699889,2001,17.4,1,3.20000000000005
3,1.1,3.1,0,3.1,12.1,18,13.9,-8.917814,42.758649,2001,17.4,2,3.20000000000005
4,1.5,1.35,0,1.35,12.1,14,13.9,-9.235604,43.063218,2001,17.4,1,3.20000000000005
5,1.3,2.55,0,2.55,11.8,19,12.8,-8.866091,42.851086,2001,18.0,2,2.60000000000002
6,1.5,2.25,0,2.25,11.8,6,9.2,-8.670253,43.240732,2001,16.6,2,3.39999999999998
7,1.05,3.1,0,3.1,6.4,11,11.9,-8.044866,43.645998,2001,16.4,0,2.80000000000007
8,2.5,2.12,0,2.12,6.4,6,11.9,-8.025395,43.371826,2001,16.4,1,2.80000000000007
9,1.4,2.25,0,2.25,11.2,6,16.4,-8.035015,43.5844,2001,16.2,1,2.79999999999995
10,1.7,3.2,0,3.2,11.2,9,16.4,-8.495562,43.291593,2001,16.2,1,2.79999999999995
11,1.4,2.05,0,2.05,11.2,16,16.4,-8.463079,43.30714,2001,16.2,2,2.79999999999995
12,1.4,3.45,0,3.45,11.2,7,16.4,-8.900901,42.773828,2001,16.2,0,2.79999999999995
13,1.5,2.05,0,2.05,11.2,9,16.4,-8.079977,43.244306,2001,16.2,1,2.79999999999995
14,5.0,3.25,0,3.25,11.2,16,16.4,-8.687411,42.826981,2001,16.2,2,2.79999999999995
15,1.0,2.14,1,2.14,6.5,11,11.1,-8.589152,42.908835,2001,14.0,2,2.0
16,1.3,1.5,1,1.5,6.5,5,11.1,-8.094067,43.057849,2001,14.0,1,2.0
17,1.2,1.0,1,1.0,6.5,8,11.1,-8.519923,42.788957,2001,14.0,1,2.0
18,6.0,2.45,1,2.45,6.5,9,11.1,-8.409987,42.803509,2001,14.0,2,2.0
19,2.0,2.45,1,2.45,6.5,6,11.1,-8.88716,42.720584,2001,14.0,1,2.0
20,1.0,1.3,1,1.3,6.5,6,11.1,-8.025395,43.371826,2001,14.0,1,2.0
21,1.0,3.35,1,3.35,6.5,11,11.1,-8.025395,43.371826,2001,14.0,2,2.0
22,3.0,1.55,1,1.55,6.4,15,12.5,-8.381428,42.803773,2001,12.4,0,2.29999999999995
23,1.0,2.2,1,2.2,6.4,6,12.5,-8.91086,42.673902,2001,12.4,1,2.29999999999995
24,1.2,1.4,1,1.4,8.4,16,13.1,-8.866091,42.851086,2001,12.6,2,5.29999999999995
25,8.0,2.45,1,2.45,8.4,14,13.1,-8.292697,43.363698,2001,12.6,3,5.29999999999995
26,5.0,1.5,1,1.5,8.4,28,13.1,-8.567981,42.854833,2001,12.6,4,5.29999999999995
27,1.4,2.2,1,2.2,3.1,5,10.0,-8.81752,42.903258,2001,14.0,1,5.5
28,3.5,2.3,0,2.3,11.8,12,13.6,-8.647949,42.765558,2001,17.4,2,6.20000000000005
